run_id,mtime,env/w_damage_taken,env/shape_safespot_attack_reward,env/w_jad_damage,env/w_jad_kill,env/w_correct_jad_prayer,env/shape_jad_heal_penalty,env/w_correct_danger_prayer,env/w_player_death,train/ent_coef,env/jad_kill_rate,env/cave_complete_rate,env/reached_wave_63,env/wave_reached,env/episode_length,env/dmg_taken_avg,env/damage_blocked,env/correct_prayer,env/attack_when_ready_rate,env/food_eaten,env/food_wasted,env/avg_hp_on_food,env/pots_used,env/pots_wasted,env/avg_prayer_on_pot,env/prayer_switches,env/jad_damage_dealt,env/max_wave_ticks,env/n,agent_steps,uptime,SPS,early_jad_kill_rate,early_wave_reached,n_bins
47kearhn,1776359394.543212,-1.5,2.3,2.0,150.0,2.0,-0.1,0.05,-11.0,0.01,0.012048192322254181,,0.1927710771560669,54.56376266479492,6977.62060546875,6507.861328125,121314.640625,1002.6626586914062,0.9244893193244934,8.174698829650879,0.1927710771560669,0.31597331166267395,21.343374252319336,2.7048192024230957,0.3257499635219574,77.78313446044922,,258.3313293457031,10006.0,3499098112,1726.221560716629,2006382,0.0,37.622794663591634,5
qyef7cqr,1776361128.3897517,-1.5,2.3,2.0,150.0,2.0,-0.1,0.05,-11.0,0.01,0.012048192322254181,,0.1927710771560669,54.56376266479492,6977.62060546875,6507.861328125,121314.6171875,1002.6626586914062,0.9244893193244934,8.174698829650879,0.1927710771560669,0.31597331166267395,21.343374252319336,2.7048192024230957,0.3257499635219574,77.78313446044922,,258.3313293457031,10006.0,3499098112,1702.7165563106537,2045277,0.0,37.622794663591634,5
xs3ijxht,1776362874.9019165,-1.5685420017689466,5.4949811371043324,2.2659047544002533,1268.0131431668997,4.759434640407562,-1.984457832202315,0.42296400165651,-12.200505612418056,0.01687799500024673,0.0,,0.0,48.092342376708984,5479.83203125,4047.1943359375,82224.375,878.683349609375,0.9000135660171509,20.0,17.961111068725586,0.910382866859436,20.27777862548828,8.45555591583252,0.6428830027580261,1013.0610961914062,,240.38333129882812,10082.0,3499098112,1694.4455320835114,1969232,0.0,29.374082681944046,5
5oz89024,1776364605.1749063,-2.370321831665933,2.6464614532887936,5.051662269979715,1935.0124455988407,1.4085805900394917,-4.47049546521157,0.2778125780168921,-5.911797219887376,0.021128688861549727,0.0,,0.0317460335791111,59.436309814453125,7500.93505859375,9122.1591796875,167025.34375,1547.1824951171875,0.9501022696495056,20.0,1.1904761791229248,0.5930114984512329,31.9761905670166,29.984127044677734,0.8150416612625122,2802.71435546875,,263.047607421875,10025.0,3499098112,1687.0808956623077,1988032,0.0,29.401854926733662,5
r0i7dyqu,1776366322.8255718,-1.8090819381177425,4.39447142649442,3.2223677150905132,2409.5089431852102,2.921352319419384,-0.711027104686945,0.17070892564952372,-8.45137813128531,0.04975606908650177,0.0,,0.0,40.473411560058594,4404.30078125,3674.302978515625,31646.76171875,511.9740295410156,0.8416796326637268,20.0,18.16883087158203,0.9152344465255737,32.0,32.0,0.9895259141921997,2752.55419921875,,239.58009338378906,10192.0,3499098112,1703.2322158813477,2066749,0.0,28.812005358634234,5
4u8dkeia,1776368115.6155324,-2.001363799907267,3.4640731252729893,5.595199130475521,786.4768125116825,3.254628013819456,-3.043940905947238,0.695460427715443,-14.661906687542796,0.009015129629572686,0.0,,0.0,38.92758560180664,4475.173828125,6188.79931640625,46816.73828125,582.1965942382812,0.7046977281570435,15.722222328186035,5.252136707305908,0.5896379947662354,21.341880798339844,11.551281929016113,0.5579793453216553,38.905982971191406,,268.542724609375,10067.0,3499098112,1774.4040794372559,1973721,0.0,34.937460750698754,5
pged8ydq,1776369884.6490154,-1.9458989659324288,3.0590231334790587,6.409404994919896,926.1610075831413,4.026061501353979,-1.0663313359953461,0.15652979754377155,-8.88180747628212,0.010556427081858234,0.02500000037252903,,0.6916666626930237,61.7125129699707,7982.3515625,8927.9580078125,166282.8125,1326.1666259765625,0.9458319544792175,15.625,0.75,0.4942682981491089,27.58333396911621,1.0333333015441895,0.362860769033432,512.9749755859375,,271.2416687011719,10070.0,3499098112,1748.10231924057,2024184,0.0,37.12591064004875,5
1jqyd9fs,1776371569.6997335,-2.2397605143487453,5.0822063107043505,3.907792879268527,2269.934383407235,1.6732333078980446,-3.5523689872585233,0.6286190362181514,-12.98300152644515,0.0338152718683796,0.0,,0.0,40.37871551513672,4273.5322265625,3619.112548828125,35483.796875,620.80517578125,0.9054815173149109,20.0,17.350648880004883,0.9063060283660889,32.0,32.0,0.9895689487457275,1879.337646484375,,241.27272033691406,10026.0,3499098112,1669.4980862140656,2092289,0.0,28.73909583652048,5
h5pnm0ka,1776373313.289923,-1.6745971953496337,3.830766840837896,4.330688616260886,1626.4681860804558,2.1840213872492313,-1.6291675286367533,0.5636206624098122,-10.129409041255713,0.02853615384744996,0.0,,0.0,43.90816879272461,4751.11083984375,3699.537841796875,52590.6875,718.0630493164062,0.9169254899024963,20.0,17.327730178833008,0.904437243938446,32.0,32.0,0.9897857308387756,2050.53369140625,,232.81512451171875,10149.0,3499098112,1727.7443976402283,1981625,0.0,29.214710955997166,5
rotue6ob,1776375048.0938585,-2.3904567044228315,4.027930775657296,1.4865094367414713,1576.6670379787683,3.523177459836006,-3.9620813481509685,0.386921287025325,-6.731366217136383,0.015710100414406018,0.0,,0.0,47.97254943847656,5429.10009765625,4421.7548828125,66519.328125,814.760009765625,0.8976641893386841,20.0,17.125,0.9038684964179993,32.0,32.0,0.9895626902580261,1815.300048828125,,241.81500244140625,10018.0,3499098112,1718.0166971683502,2004718,0.0,35.65237469753201,5
pjudfaum,1776376775.2583923,-1.8245991636067629,3.6345515474677086,3.5047801788896322,2044.520697928965,3.0884599685668945,-0.9863531346432861,0.0943809217074886,-9.618239402770996,0.01295141361526139,0.0476190485060215,,0.920634925365448,62.70558166503906,8179.876953125,7892.619140625,171508.375,1538.3492431640625,0.9565405249595642,19.174602508544922,4.166666507720947,0.6951813697814941,28.928571701049805,1.634920597076416,0.49313926696777344,793.1190185546875,,277.5555419921875,10125.0,3499098112,1704.1364254951477,2022881,0.0,36.86122552153589,5
7n2kd76b,1776378499.8999977,-2.1108160568401217,4.225473561324179,6.625284532085061,1152.3437527939677,2.7357122786343098,-3.323751851636916,0.6030583998654038,-13.485203888267279,0.027537902407577357,0.0,,0.0,40.90845489501953,4415.6240234375,3550.513671875,40982.890625,658.30908203125,0.9119844436645508,20.0,17.040908813476562,0.9028275012969971,32.0,32.0,0.989739179611206,1992.513671875,,238.15908813476562,10028.0,3499098112,1709.551102399826,1973829,0.0,28.372180323520723,5
55jfe8na,1776380238.7016978,-2.0434179492726052,3.0929866680149836,4.821964225947511,2386.4332559056775,3.9673280365471024,-0.09999999999999964,0.17400546212201878,-11.477349962554019,0.011756429237462864,0.014598540030419827,,0.2554744482040405,59.933101654052734,7690.5673828125,8897.05078125,169187.09375,1313.8101806640625,0.9514428377151489,19.31386947631836,1.2700729370117188,0.5332611203193665,29.81751823425293,4.759124279022217,0.48500797152519226,587.211669921875,,275.211669921875,10030.0,3499098112,1716.5577235221863,1904296,0.0,43.218401623000915,5
zkmy30mi,1776382091.8341339,-1.6943783961807939,3.6043532061638235,4.837473837175686,2311.811408574449,3.9670987868664422,-0.7450061738170737,0.08064108900947115,-7.977050866663115,0.008299754377583665,0.03125,,0.453125,59.65884780883789,7708.4609375,8178.453125,133576.28125,1179.5078125,0.9202525019645691,17.234375,5.265625,0.599735677242279,29.4453125,6.390625,0.5324242115020752,201.46875,,281.78125,10019.0,3499098112,1733.1505796909332,1940977,0.00527167614667768,46.653462924545614,5
