run_id,name,state,peak_jk,peak_step_B,final_jk,mean_top10pct,mean_last5pct,mean_last20pct,stability_score,collapse_ratio,n_samples,env/w_damage_taken,env/shape_safespot_attack_reward,env/w_jad_damage,env/w_jad_kill,env/w_correct_jad_prayer,env/shape_jad_heal_penalty,env/w_correct_danger_prayer,env/w_player_death,train/ent_coef
yp8zbwig,celestial-capybara-204,crashed,0.0,0.004194304,0.0,0.0,0.0,0.0,0.0,0.0,90,,,,,,,,,
47kearhn,fragrant-terrain-205,finished,0.02083333395421505,2.038431744,0.012048192322254181,0.00660149783389755,0.0028326829828052634,0.0012550047352663926,0.06024022260595763,0.42168676552591206,1668,-1.5,2.3,2.0,150.0,2.0,-0.1,0.05,-11.0,0.01
qyef7cqr,faithful-brook-206,finished,0.02083333395421505,2.038431744,0.012048192322254181,0.006601408376436995,0.0028326829828052634,0.0012550047352663926,0.06024022260595763,0.42168676552591206,1668,-1.5,2.3,2.0,150.0,2.0,-0.1,0.05,-11.0,0.01
xs3ijxht,glad-waterfall-207,finished,0.0,0.004194304,0.0,0.0,0.0,0.0,0.0,0.0,1668,-1.5685420017689466,5.4949811371043324,2.2659047544002533,1268.0131431668997,4.759434640407562,-1.984457832202315,0.42296400165651,-12.200505612418056,0.01687799500024673
5oz89024,fearless-firefly-208,finished,0.004878048785030842,3.263168512,0.0,0.00024762168436883445,4.688012750303171e-05,0.00011243902680998271,0.023049995749330345,0.9999997950000421,1668,-2.370321831665933,2.6464614532887936,5.051662269979715,1935.0124455988407,1.4085805900394917,-4.47049546521157,0.2778125780168921,-5.911797219887376,0.021128688861549727
r0i7dyqu,pious-music-209,finished,0.0,0.004194304,0.0,0.0,0.0,0.0,0.0,0.0,1668,-1.8090819381177425,4.39447142649442,3.2223677150905132,2409.5089431852102,2.921352319419384,-0.711027104686945,0.17070892564952372,-8.45137813128531,0.04975606908650177
4u8dkeia,unique-cosmos-210,finished,0.013201320543885231,2.384461824,0.0,0.0024322165184687957,0.0,0.00012472165362523483,0.009447664251690401,0.9999999242500082,1668,-2.001363799907267,3.4640731252729893,5.595199130475521,786.4768125116825,3.254628013819456,-3.043940905947238,0.695460427715443,-14.661906687542796,0.009015129629572686
pged8ydq,drawn-paper-211,finished,0.043478261679410934,3.120562176,0.02500000037252903,0.019959908034876888,0.010716107135346854,0.012114629617895003,0.2786364696129376,0.4249999923670422,1668,-1.9458989659324288,3.0590231334790587,6.409404994919896,926.1610075831413,4.026061501353979,-1.0663313359953461,0.15652979754377155,-8.88180747628212,0.010556427081858234
1jqyd9fs,faithful-fog-212,finished,0.0,0.004194304,0.0,0.0,0.0,0.0,0.0,0.0,1668,-2.2397605143487453,5.0822063107043505,3.907792879268527,2269.934383407235,1.6732333078980446,-3.5523689872585233,0.6286190362181514,-12.98300152644515,0.0338152718683796
h5pnm0ka,firm-dawn-213,finished,0.0,0.004194304,0.0,0.0,0.0,0.0,0.0,0.0,1668,-1.6745971953496337,3.830766840837896,4.330688616260886,1626.4681860804558,2.1840213872492313,-1.6291675286367533,0.5636206624098122,-10.129409041255713,0.02853615384744996
rotue6ob,decent-deluge-214,finished,0.0,0.004194304,0.0,0.0,0.0,0.0,0.0,0.0,1668,-2.3904567044228315,4.027930775657296,1.4865094367414713,1576.6670379787683,3.523177459836006,-3.9620813481509685,0.386921287025325,-6.731366217136383,0.015710100414406018
pjudfaum,graceful-haze-215,finished,0.07630521804094315,3.374317568,0.0476190485060215,0.04102406706885401,0.04964467322072351,0.02429225121823338,0.318356352600192,0.37593980982519015,1668,-1.8245991636067629,3.6345515474677086,3.5047801788896322,2044.520697928965,3.0884599685668945,-0.9863531346432861,0.0943809217074886,-9.618239402770996,0.01295141361526139
7n2kd76b,fragrant-tree-216,finished,0.0,0.004194304,0.0,0.0,0.0,0.0,0.0,0.0,1668,-2.1108160568401217,4.225473561324179,6.625284532085061,1152.3437527939677,2.7357122786343098,-3.323751851636916,0.6030583998654038,-13.485203888267279,0.027537902407577357
55jfe8na,zany-firefly-217,finished,0.1428571492433548,1.455423488,0.014598540030419827,0.05406753128641341,0.016125719287399067,0.030217916162141988,0.21152540219839375,0.8978102180706289,1668,-2.0434179492726052,3.0929866680149836,4.821964225947511,2386.4332559056775,3.9673280365471024,-0.09999999999999964,0.17400546212201878,-11.477349962554019,0.011756429237462864
