run_id,env/w_damage_taken,env/w_wave_clear,env/w_player_death,env/w_correct_danger_prayer,env/shape_wrong_prayer_penalty,env/shape_npc_specific_prayer_bonus,env/shape_npc_melee_penalty,env/shape_kiting_reward,env/shape_safespot_attack_reward,train/ent_coef,env/jad_kill_rate,env/reached_wave_63,env/wave_reached,agent_steps,uptime,wave_peak_local,jk_peak_local
ojj2ywz4,-1.5,15.156927311293588,-11.076035808232554,0.05343223061593367,-0.2999999999999998,0.3,-0.7749989567665674,2.187922306314321,2.2753247716442724,0.010016571298789485,0.0,0.0,55.75064468383789,499122176,253.9404513835907,55.75064468383789,0.0
fx5v4jlx,-1.5,30.0,-5.0,0.3753487666959671,-0.2999999999999998,0.5352705625370457,-2.0004254001706494,0.6893382059784603,3.3302201907675157,0.004451185864194903,0.0,0.0,55.317203521728516,499122176,257.24228620529175,55.317203521728516,0.0
6rx5t0ay,-1.478594525283386,30.0,-5.0,0.05,-0.2999999999999998,0.3,-2.4544423202807244,1.7316863131443367,4.0,0.006964307581160857,0.0,0.0,54.46969223022461,499122176,267.2631027698517,54.46969223022461,0.0
rtzmrnmc,-1.2018898171019101,30.0,-5.334860255575258,0.05,-0.2999999999999998,0.7633797202198636,-2.1294800839302703,1.8302537603217843,4.0,0.0070800599701048746,0.0,0.0,53.26465606689453,499122176,256.9636628627777,53.26465606689453,0.0
9bgbaa3s,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-2.0590355825800915,2.9137075431697457,4.0,0.011135841734292561,0.0,0.0,52.848628997802734,499122176,253.29132437705994,52.848628997802734,0.0
eeutolls,-1.4657693643178944,30.0,-5.0,0.10867609553902172,-0.2999999999999998,0.3,-1.7051765819246982,1.808492481053475,4.0,0.009429059368132046,0.0,0.0,52.595787048339844,499122176,254.58558106422424,52.595787048339844,0.0
tak401lk,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-2.6348195890605686,2.1238450448442108,4.0,0.005381195465947492,0.0,0.0,51.5666618347168,499122176,248.40550065040588,51.5666618347168,0.0
482ehze8,-1.5,17.56565765729404,-5.0,0.2416979647887355,-0.2999999999999998,0.3,-0.9250826624147761,1.8607293294487302,2.334101848254744,0.008927027788566825,0.0,0.0,50.40228271484375,499122176,253.83980655670166,50.40228271484375,0.0
ip6zzpx5,-1.5,30.0,-5.0,0.1154152907683162,-0.2999999999999998,0.3,-3.0,2.5137386909665103,4.0,0.007746556838585683,0.0,0.0,50.274444580078125,499122176,253.5233919620514,50.274444580078125,0.0
pm0rw9xx,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-2.196028863663472,1.9065345756763679,4.0,0.007024157779264583,0.0,0.003968254197388887,49.83806610107422,499122176,255.02904200553894,49.83806610107422,0.0
9vwztdd2,-0.838655073621072,19.959878993734073,-19.147267362421825,0.25989470897673106,-1.1254110292505901,0.603510870060699,-0.6070668580389986,1.1786034241440653,1.930597564811349,0.0057991418451833615,0.0,0.0,48.51485824584961,499122176,251.55115175247192,49.60636882458703,0.0
hre8j9r1,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-2.192312763574082,1.82665411717315,4.0,0.006743303282081741,0.0,0.0,49.18686294555664,499122176,266.64615774154663,49.18686294555664,0.0
d2h914wb,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-2.702548363601844,2.3643504663573722,4.0,0.006819973859289397,0.0,0.0,49.10984802246094,499122176,277.0135462284088,49.10984802246094,0.0
ie2gdmv0,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-1.9299772347436757,2.6639218803204003,4.0,0.009664602572744766,0.0,0.0,48.65636444091797,499122176,254.1800401210785,48.65636444091797,0.0
i02wqc1l,-1.2328249211659725,22.774091631473205,-10.53003217897976,0.22496531966104327,-0.47166973858660644,0.3,-1.4154806177966912,1.7106894528758396,1.8809639810400727,0.009339180115772536,0.0,0.0,47.93331527709961,499122176,261.75063967704773,47.93331527709961,0.0
jdaktifa,-1.4288134911904553,30.0,-5.0,0.05,-0.2999999999999998,0.507590263654103,-3.0,3.0,4.0,0.005480249533133196,0.0,0.0,47.880760192871094,499122176,245.18581438064575,47.880760192871094,0.0
j46ffirf,-1.3610085770211668,30.0,-7.091580506019277,0.05,-0.2999999999999998,0.7909923615626312,-1.9160810585727366,1.609112497279748,4.0,0.008304662085833968,0.0,0.0,47.84347152709961,499122176,247.20711159706116,47.84347152709961,0.0
xd7hzb3d,-1.4504735846199186,30.0,-5.0,0.05,-0.2999999999999998,0.3004116111249863,-1.327196388933938,1.8577403024829435,4.0,0.008502749902993833,0.0,0.0,47.696529388427734,499122176,252.86009788513184,47.696529388427734,0.0
1ewuxnx1,-0.817407085654584,18.69173850574709,-17.153455471945392,0.05,-0.7752822722673236,1.5773079823811063,-0.8909461544990043,2.1266932762926385,1.8119834633241323,0.0057239025525417,0.0,0.0,47.3581657409668,499122176,253.74966716766357,47.3581657409668,0.0
l8clsu03,-1.4430357992999312,30.0,-5.0,0.05,-0.2999999999999998,0.3,-1.9709916053083958,3.0,4.0,0.011591638602893537,0.0,0.0,46.65364456176758,499122176,253.21414613723755,46.65364456176758,0.0
ha95gizp,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-2.4648510182002292,2.3730681850238153,3.9465570466757107,0.006663985014812913,0.0,0.0,46.61527633666992,499122176,243.57624983787537,46.61527633666992,0.0
qa2fo8n2,-1.5,10.037767389456015,-8.156026264063094,0.08729287865772672,-0.3188476089963994,0.3,-0.7420992821771772,2.2805504954488613,1.808882885018746,0.010191879920393132,0.0,0.0,46.38915252685547,499122176,253.35221910476685,46.38915252685547,0.0
11du6ffp,-1.5,17.67481578502433,-13.874989181021114,0.0771012289026108,-0.2999999999999998,0.3,-0.9707577442330986,2.7872762465792156,2.679374737376299,0.010694164820759971,0.0,0.0,46.37834548950195,499122176,253.46523070335388,46.37834548950195,0.0
xabr357g,-1.1944949252243269,30.0,-5.0,0.05,-0.2999999999999998,1.50133475562723,-2.7548207792428436,2.0622279965154537,4.0,0.0036259575939625475,0.0,0.0,45.8912239074707,499122176,257.9244427680969,45.8912239074707,0.0
2gkiapy7,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-1.8073544963555783,2.7731191071587693,4.0,0.010365958954962087,0.0,0.0,45.51142883300781,499122176,253.54035544395447,45.51142883300781,0.0
8gqq6og5,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-1.9300349343691066,3.0,4.0,0.010524411746118227,0.0,0.0,45.493072509765625,499122176,254.17573022842407,45.493072509765625,0.0
fiuc5fyk,-0.7541658714859106,13.941963647859833,-18.354632369156036,0.09809305541761286,-1.422251279341908,1.5422516867741904,-0.7690642983175202,1.2924161598047736,1.8502544648920702,0.00544669913010078,0.0,0.0,45.345115661621094,499122176,248.5758740901947,45.345115661621094,0.0
ml0r02ib,-1.5,9.976356658038219,-7.33015059855596,0.2165045230826404,-0.2999999999999998,0.3,-0.9742137109418954,2.7176033910876694,2.625339401627084,0.011421723173999272,0.0,0.0,45.302120208740234,499122176,253.5787308216095,45.302120208740234,0.0
5aocsg22,-1.2813081767634815,25.309124808376016,-7.191476560358893,0.5279719011843612,-0.4554281670113647,0.3,-0.896189917243428,1.8113033476749607,1.7925660574174347,0.007355015958831855,0.0,0.0,44.430152893066406,499122176,249.42664790153503,45.042313397940944,0.0
bnkmvjns,-1.5,20.214553317929692,-5.0,0.14195332670928903,-0.2999999999999998,0.3,-1.0243761842666677,2.0638558644040783,2.5420072911108806,0.009666417080593065,0.0,0.0,44.96044921875,499122176,253.64043831825256,44.96044921875,0.0
ihv0fda3,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-1.790057535301284,2.284344652872257,3.585315098073597,0.009030626742042708,0.0,0.0,44.795963287353516,499122176,253.79795837402344,44.795963287353516,0.0
bieys6sk,-1.5,10.326227821506542,-10.191526617505595,0.24112252630771208,-0.2999999999999998,0.3,-0.6432137126858053,2.7361144237220962,2.3127372753429793,0.010138967444978967,0.0,0.0,44.77130126953125,499122176,252.8078875541687,44.77130126953125,0.0
5k1uxtk2,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-2.2171298009953557,2.8027819213064684,4.0,0.010891541237845965,0.0,0.0,44.750919342041016,499122176,253.07208132743835,44.750919342041016,0.0
24e80bfu,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.732586203716942,-1.5654749852735823,2.08120198746351,3.937762634277198,0.010095310990677757,0.0,0.0,44.69345474243164,499122176,253.55521249771118,44.69345474243164,0.0
93owtzwt,-1.2220716457658987,27.869450408552634,-5.0,0.4673365326028383,-0.2999999999999998,0.3,-1.250875066425444,1.758731683744256,2.467026073933894,0.010020437763251714,0.0,0.0,44.64613723754883,499122176,274.8421015739441,44.64613723754883,0.0
wfgj5uz9,-1.5,16.972466324795214,-5.0,0.05,-0.2999999999999998,0.3,-1.643663294762045,2.4440563905211854,2.215493897835623,0.012927237654006017,0.0,0.0,44.522762298583984,499122176,252.26328921318054,44.522762298583984,0.0
n5v6q9g3,-1.2545332394694217,30.0,-5.0,0.05,-0.2999999999999998,0.3,-1.4873614293465418,2.2900135854068844,3.949289709774216,0.011352943878375899,0.0,0.0,44.49433135986328,499122176,253.38571119308472,44.49433135986328,0.0
ow4oxjdo,-1.5,17.717549604503304,-5.0,0.32313809686188777,-0.2999999999999998,0.3,-1.584386510159454,1.68460887841055,1.542701505511637,0.010996267384045542,0.0,0.0,44.44608688354492,499122176,249.88647627830505,44.44608688354492,0.0
ayr07e37,-1.5,25.13297347447739,-5.0,0.10852676340911288,-0.2999999999999998,0.4206884718349856,-1.1556459853679657,1.9341248586096622,4.0,0.011850192377117368,0.0,0.0,44.41627883911133,499122176,251.28646898269653,44.41627883911133,0.0
g3i44ytm,-1.5,30.0,-5.0,0.28140311275018515,-0.2999999999999998,0.6592921416036326,-1.9812315653172148,1.1099697723958133,3.5766006781209314,0.003486988999210975,0.0,0.0,40.16844177246094,499122176,247.06122040748596,44.412427805237854,0.0
5s66oez1,-1.4467153746345078,30.0,-5.0,0.05,-0.2999999999999998,0.7657506874608742,-1.9115045869829312,1.8241612927480528,4.0,0.009853122454150995,0.0,0.0,44.41221618652344,499122176,260.24453115463257,44.41221618652344,0.0
pc5v0fpe,-1.5,24.216686688746726,-5.0,0.05,-0.2999999999999998,0.3373310927609541,-1.399369760363991,2.8885334744449382,4.0,0.012544193631206608,0.0,0.0,44.395912170410156,499122176,253.71781373023987,44.395912170410156,0.0
ff4q2k1x,-1.5,26.886807166487117,-5.348239879119518,0.05,-0.3339424298725393,0.3,-1.903060169824392,3.0,4.0,0.010749508128064888,0.0,0.0,44.34395980834961,499122176,253.38180589675903,44.390567326949814,0.0
bscjpe03,-1.5,13.87015165852503,-5.476611020110241,0.23708180414806784,-0.2999999999999998,0.3,-1.2135968252962412,2.759685263297635,2.8709662144735524,0.008974615812806463,0.0,0.0,44.37826919555664,499122176,253.76765394210815,44.37826919555664,0.0
k7wnhmlf,-1.5,30.0,-5.0,0.15302556980239068,-0.2999999999999998,0.3,-1.854920899555364,3.0,4.0,0.009664778347363935,0.0,0.0,44.36076354980469,499122176,253.50841903686523,44.36076354980469,0.0
vxd60jrz,-1.1606456443984055,30.0,-5.0,0.05,-0.2999999999999998,0.3,-1.9147208895637458,1.4097925491616021,4.0,0.009645515419294617,0.0,0.0,44.30628967285156,499122176,252.23327541351318,44.30628967285156,0.0
wj9qdjwc,-1.4370696558994382,27.729698755658198,-5.0,0.2622663047149142,-0.2999999999999998,0.3,-1.628922283524628,2.289335612898246,4.0,0.009613134624568273,0.0,0.0,44.13429641723633,499122176,264.10120010375977,44.29421757843535,0.0
l870h13i,-1.5,20.097592529577867,-14.28365505925818,0.34749851478305044,-0.2999999999999998,0.3,-1.0881217500544624,1.550476559347155,1.5141500700097141,0.009642553128920704,0.0,0.0,44.275299072265625,499122176,250.17644500732422,44.275299072265625,0.0
3qwomvkf,-1.5,30.0,-6.320137788807969,0.05,-0.2999999999999998,0.6426908840160633,-2.016042113071996,1.7391319708603155,3.9435966957958546,0.008218815378946105,0.0,0.0,44.16889572143555,499122176,269.65451741218567,44.16889572143555,0.0
x9924ua3,-1.5,28.58564740352525,-5.0,0.05,-0.2999999999999998,0.3,-2.218184538293765,2.9839751195196147,4.0,0.011396718210620072,0.0,0.0,44.002357482910156,499122176,253.41664934158325,44.15336201554638,0.0
isv4cll3,-1.5,28.942324038327854,-9.080246728506445,0.05,-0.2999999999999998,0.3,-1.8908543353198914,3.0,4.0,0.01100596477722306,0.0,0.0,44.0590705871582,499122176,252.99324297904968,44.0590705871582,0.0
523f2zps,-1.1165016525803222,21.629405761459676,-14.083354430641378,0.2762447424967469,-0.6272309612595817,0.3,-1.2807767602396245,1.276885384713934,1.7682682380176782,0.011311305513392602,0.0,0.0,44.05005645751953,499122176,245.3861861228943,44.05005645751953,0.0
u8wo84do,-1.5,23.710490031792666,-5.0,0.46121917849356,-0.2999999999999998,0.3,-0.9658577976264113,1.3661497524442991,1.9369315444752815,0.008999188904809914,0.0,0.0,43.9825325012207,499122176,238.80112767219543,43.9825325012207,0.0
png8776g,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-1.9636906941075583,2.4603393476783015,4.0,0.01042566842834701,0.0,0.0,43.9498405456543,499122176,252.95411610603333,43.9498405456543,0.0
oe635qw4,-1.2811600509124537,24.094686359753204,-5.0,0.3015191576963016,-0.4414047483474284,0.3,-1.284605915479547,1.6482755826093574,1.9034378645400805,0.015657149805159122,0.0,0.0,43.301143646240234,499122176,244.29977869987488,43.9245221412788,0.0
mzkxcbl0,-1.5,30.0,-7.9610191694958345,0.05,-0.45909842041181737,0.3,-1.9333423998168537,3.0,4.0,0.010990419823578632,0.0,0.0,43.869876861572266,499122176,252.6452476978302,43.869876861572266,0.0
e5fcrzur,-1.5,30.0,-5.0,0.05,-0.2999999999999998,0.3,-1.3631572262401663,1.9702288876641574,3.872513233573292,0.013683508724510782,0.0,0.0,43.706764221191406,499122176,246.73457622528076,43.706764221191406,0.0
3uulkbi2,-1.5,28.735110200189897,-8.078500887898187,0.05,-0.2999999999999998,0.3,-2.112668724461935,3.0,4.0,0.011778401299166406,0.0,0.0,42.08338928222656,499122176,253.24097776412964,43.6916961023363,0.0
utlayiqr,-1.3538786634068112,20.776950080101983,-5.0,0.23392761673552664,-0.2999999999999998,0.3,-1.469451065048008,1.7784088160192426,3.207041470181117,0.017524753803043042,0.0,0.0,43.432838439941406,499122176,259.5976436138153,43.54019552974378,0.0
birx0cbu,-1.2237820291869597,24.158925196494614,-5.0,0.5605531088241448,-0.2999999999999998,0.3,-1.5394042000549621,1.7264038833670703,2.531312297125392,0.008815630534867084,0.0,0.0,43.44078826904297,499122176,242.97274684906006,43.44078826904297,0.0
